id,filename,width,height,class,score,xmin,ymin,xmax,ymax
0,/home/fvogel/Documents/data_tracking/1004_anchors_5_30000/SR052N1D1day1stack1-06.png,512,512,spine,0.8284626603126526,230.0,476.0,246.0,490.0
1,/home/fvogel/Documents/data_tracking/1004_anchors_5_30000/SR052N1D1day1stack1-07.png,512,512,spine,0.6142666935920715,224.0,435.0,238.0,449.0
0,/home/fvogel/Documents/data_tracking/1004_anchors_5_30000/SR052N1D1day1stack1-07.png,512,512,spine,0.9070879817008972,230.5,476.0,245.5,490.0
3,/home/fvogel/Documents/data_tracking/1004_anchors_5_30000/SR052N1D1day1stack1-08.png,512,512,spine,0.757563591003418,159.0,307.5,173.0,326.5
4,/home/fvogel/Documents/data_tracking/1004_anchors_5_30000/SR052N1D1day1stack1-08.png,512,512,spine,0.7037061452865601,162.0,250.0,184.0,270.0
2,/home/fvogel/Documents/data_tracking/1004_anchors_5_30000/SR052N1D1day1stack1-08.png,512,512,spine,0.8073179721832275,112.0,147.0,130.0,167.0
1,/home/fvogel/Documents/data_tracking/1004_anchors_5_30000/SR052N1D1day1stack1-08.png,512,512,spine,0.7054659128189087,219.5,438.0,234.5,454.0
0,/home/fvogel/Documents/data_tracking/1004_anchors_5_30000/SR052N1D1day1stack1-08.png,512,512,spine,0.9405386447906494,229.5,474.0,244.5,490.0
5,/home/fvogel/Documents/data_tracking/1004_anchors_5_30000/SR052N1D1day1stack1-08.png,512,512,spine,0.6089656949043274,106.5,207.5,127.5,232.5
3,/home/fvogel/Documents/data_tracking/1004_anchors_5_30000/SR052N1D1day1stack1-09.png,512,512,spine,0.757563591003418,159.0,307.5,173.0,326.5
1,/home/fvogel/Documents/data_tracking/1004_anchors_5_30000/SR052N1D1day1stack1-09.png,512,512,spine,0.9055885672569276,222.5,435.5,237.5,452.5
5,/home/fvogel/Documents/data_tracking/1004_anchors_5_30000/SR052N1D1day1stack1-09.png,512,512,spine,0.8393267989158629,111.5,211.0,132.5,233.0
7,/home/fvogel/Documents/data_tracking/1004_anchors_5_30000/SR052N1D1day1stack1-09.png,512,512,spine,0.7787305116653442,94.0,120.0,110.0,136.0
8,/home/fvogel/Documents/data_tracking/1004_anchors_5_30000/SR052N1D1day1stack1-09.png,512,512,spine,0.666062593460083,188.5,317.5,211.5,336.5
0,/home/fvogel/Documents/data_tracking/1004_anchors_5_30000/SR052N1D1day1stack1-09.png,512,512,spine,0.9539566040039062,227.5,473.5,244.5,490.5
6,/home/fvogel/Documents/data_tracking/1004_anchors_5_30000/SR052N1D1day1stack1-09.png,512,512,spine,0.8188740611076355,81.5,175.5,112.5,198.5
4,/home/fvogel/Documents/data_tracking/1004_anchors_5_30000/SR052N1D1day1stack1-09.png,512,512,spine,0.7428722977638245,162.0,250.0,180.0,270.0
2,/home/fvogel/Documents/data_tracking/1004_anchors_5_30000/SR052N1D1day1stack1-09.png,512,512,spine,0.9338465332984924,110.5,145.0,127.5,163.0
5,/home/fvogel/Documents/data_tracking/1004_anchors_5_30000/SR052N1D1day1stack1-10.png,512,512,spine,0.8393267989158629,111.5,211.0,132.5,233.0
0,/home/fvogel/Documents/data_tracking/1004_anchors_5_30000/SR052N1D1day1stack1-10.png,512,512,spine,0.9698916077613832,229.0,473.0,245.0,491.0
8,/home/fvogel/Documents/data_tracking/1004_anchors_5_30000/SR052N1D1day1stack1-10.png,512,512,spine,0.8635900616645813,189.0,319.0,209.0,337.0
7,/home/fvogel/Documents/data_tracking/1004_anchors_5_30000/SR052N1D1day1stack1-10.png,512,512,spine,0.8770991563796997,95.5,119.5,110.5,136.5
2,/home/fvogel/Documents/data_tracking/1004_anchors_5_30000/SR052N1D1day1stack1-10.png,512,512,spine,0.9036356806755066,109.0,146.0,125.0,164.0
3,/home/fvogel/Documents/data_tracking/1004_anchors_5_30000/SR052N1D1day1stack1-10.png,512,512,spine,0.757563591003418,159.0,307.5,173.0,326.5
4,/home/fvogel/Documents/data_tracking/1004_anchors_5_30000/SR052N1D1day1stack1-10.png,512,512,spine,0.8749971389770508,162.0,248.5,180.0,267.5
1,/home/fvogel/Documents/data_tracking/1004_anchors_5_30000/SR052N1D1day1stack1-10.png,512,512,spine,0.8441535830497742,221.0,436.0,237.0,452.0
9,/home/fvogel/Documents/data_tracking/1004_anchors_5_30000/SR052N1D1day1stack1-10.png,512,512,spine,0.6595146059989929,129.0,223.0,143.0,239.0
6,/home/fvogel/Documents/data_tracking/1004_anchors_5_30000/SR052N1D1day1stack1-10.png,512,512,spine,0.8188740611076355,81.5,175.5,112.5,198.5
10,/home/fvogel/Documents/data_tracking/1004_anchors_5_30000/SR052N1D1day1stack1-10.png,512,512,spine,0.6263726353645325,175.5,346.0,188.5,362.0
2,/home/fvogel/Documents/data_tracking/1004_anchors_5_30000/SR052N1D1day1stack1-11.png,512,512,spine,0.9308682680130004,109.0,149.0,125.0,167.0
1,/home/fvogel/Documents/data_tracking/1004_anchors_5_30000/SR052N1D1day1stack1-11.png,512,512,spine,0.8162868022918701,220.5,434.0,237.5,450.0
10,/home/fvogel/Documents/data_tracking/1004_anchors_5_30000/SR052N1D1day1stack1-11.png,512,512,spine,0.6263726353645325,175.5,346.0,188.5,362.0
9,/home/fvogel/Documents/data_tracking/1004_anchors_5_30000/SR052N1D1day1stack1-11.png,512,512,spine,0.6661943793296814,127.0,220.0,143.0,238.0
4,/home/fvogel/Documents/data_tracking/1004_anchors_5_30000/SR052N1D1day1stack1-11.png,512,512,spine,0.8422303199768066,162.5,250.0,181.5,270.0
11,/home/fvogel/Documents/data_tracking/1004_anchors_5_30000/SR052N1D1day1stack1-11.png,512,512,spine,0.6118911504745483,18.0,77.5,34.0,92.5
8,/home/fvogel/Documents/data_tracking/1004_anchors_5_30000/SR052N1D1day1stack1-11.png,512,512,spine,0.6610886454582214,190.5,319.5,209.5,338.5
7,/home/fvogel/Documents/data_tracking/1004_anchors_5_30000/SR052N1D1day1stack1-11.png,512,512,spine,0.8447753190994263,95.5,120.5,110.5,137.5
